time	txpkts	txbytes	rxpkts	rxbytes
290	4088	3153501	4590	412705
291	3372	2512142	3815	344914
292	3769	2761067	4188	373736
293	3937	2982439	4399	391364
294	3147	2356099	3521	312551
295	4053	3089803	4389	391165
296	3948	2983688	4394	390150
297	3736	2824991	4145	371691
298	3918	2919004	4188	371024
299	3758	2834099	4146	367090
300	3864	2931706	4210	374060
301	3489	2608581	3945	350285
302	3981	3059532	4319	383201
303	4128	3133152	4485	402643
304	4793	3534567	5211	464602
305	4679	3448542	5108	454598
306	5399	4825660	5020	438439
307	4151	3175243	4633	411436
308	4167	3153915	4445	395562
309	3463	2707005	3788	335485
310	3544	2770431	3997	352407
311	4056	3170617	4420	392997
312	3774	2924261	4116	364742
313	4630	3572233	5070	455208
314	4019	3020432	4360	382005
315	3537	2711984	3848	344419
316	4339	3264057	4713	416883
317	3608	2879062	3991	358335
318	3944	3146164	4250	380070
319	4039	3213042	4398	386545
320	4585	3513003	4948	442394
321	4868	3770583	5242	469295
322	4802	3693762	5274	464684
323	4734	3659474	5115	456051
324	3689	2887141	4059	363529
325	3875	3012917	4168	366159
326	3985	3047283	4359	385242
327	4313	3322040	4682	417038
328	3296	2487487	3622	320105
329	3666	2853382	4078	362402
330	4224	3251180	4514	401698
331	3432	2601221	3778	339511
332	4725	3655302	5116	450047
333	4053	3079258	4417	391889
334	4138	3212743	4544	401965
335	4033	2946455	4430	393218
336	3703	2797399	4080	365935
337	3878	2998431	4296	380122
338	3966	3153361	4329	383637
339	4156	3229618	4506	398052
340	4137	3213355	4493	401968
341	4211	3285722	4625	412520
342	3520	2744910	3910	348427
343	3445	2721016	3782	337769
344	4291	3483100	4585	411867
345	3993	3044320	4272	381019
346	3866	3025710	4245	379992
347	3997	3161683	4368	388217
348	3778	2857454	4027	364632
349	4632	3556632	5006	446249
350	4006	3113270	4427	397640
351	3978	3116450	4287	383323
352	3855	2919964	4226	379190
353	3545	2807473	3965	351264
354	3550	2806023	3904	350603
355	4036	3230503	4523	405586
356	4301	3313075	4643	416595
357	4088	3135104	4471	399043
358	4140	3317813	4469	402368
359	3645	2836393	4015	359677
360	4355	3359445	4713	420432
361	4124	3227655	4477	400556
362	3889	3027968	4186	374693
363	4359	3334642	4717	422193
364	3945	3047996	4307	385572
365	3777	2899723	4102	365848
366	3569	2808552	3913	350926
367	3470	2770726	3878	345699
368	5466	4244136	5918	529807
369	4439	3451077	4767	427888
370	4748	3712496	5087	455607
371	4070	3085272	4483	403606
372	3523	2857818	3963	355391
373	3381	2616259	3679	328570
374	4302	3320835	4643	413884
375	3946	3059962	4272	384425
376	3615	2766702	3963	353883
377	4018	3176838	4362	392403
378	3566	2748577	3840	345608
379	3645	2862267	3965	356736
380	4661	3659659	5027	450922
381	4418	3394396	4657	418634
382	4147	3245531	4439	404340
383	3740	2937007	4101	362047
384	3603	2748792	3969	355188
385	3564	2769409	3839	344492
386	3998	3132599	4335	390785
387	4295	3289853	4542	409256
388	3901	3081482	4258	381021
389	3568	2755030	3926	351271
390	4181	3236158	4497	405409
391	3638	2865190	3888	351285
392	3566	2794287	3895	348180
393	3874	2934389	4164	374144
394	4399	3398560	4802	437334
395	4872	3880942	5220	468126
396	5320	4185439	5643	506348
397	4917	3875864	5260	471941
398	3576	2851300	3961	354865
399	3749	2832824	4074	364798
400	3877	3090069	4130	369906
401	3222	2453354	3551	319256
402	3392	2733133	3813	344467
403	3661	2845057	3945	354336
404	3762	2920891	4105	369323
405	4516	3610477	4867	439537
406	3590	2822859	3902	347542
407	4542	3586193	4899	443843
408	3792	2997060	4052	362313
409	4367	3449329	4651	419270
410	3246	2521013	3569	321088
411	3968	3152671	4395	393508
412	3928	3101169	4204	378581
413	3914	3034298	4186	377800
414	3646	2853478	3995	358406
415	4203	3219932	4433	397315
416	3753	3015428	4184	377740
417	3591	2789021	3840	339937
418	3768	2972797	4028	361877
419	4368	3394967	4793	429800
420	3719	2987720	4010	356832
421	3717	2913423	4001	361402
422	4290	3305963	4718	421867
423	3803	2908512	4189	375629
424	3729	2884082	4085	367610
425	4089	3109396	4447	402836
426	3513	2729409	3902	349176
427	3793	2961468	4061	362961
428	3385	2566218	3737	335902
429	3406	2590164	3893	351334
430	4196	3282057	4527	406386
431	4410	3384146	4755	426754
432	3764	2797942	4028	362949
433	3373	2626990	3694	332503
434	3639	2820709	3949	350056
435	3666	2801507	3995	358773
436	3348	2558070	3658	331085
437	3401	2635211	3762	340806
438	3183	2389401	3678	332592
439	3553	2764215	3916	354089
440	3976	3136490	4362	394117
441	4052	3178838	4476	409134
442	3701	2889611	4031	361355
443	3621	2808619	3969	357066
444	4198	3215435	4511	409242
445	4254	3235351	4600	413449
446	4185	3249977	4539	407750
447	3381	2644495	3707	330709
448	3803	2946496	4148	371588
449	4118	3230992	4511	404520
450	3523	2625097	3768	337860
451	4068	3141398	4457	401398
452	2027	1546145	2357	206184
453	3460	2599179	3648	322567
454	953	783134	1240	114161
455	1996	1458420	2124	185109
456	3342	2547181	3650	333646
457	628	445055	804	61646
458	3597	2713210	4008	364079
459	3048	2290459	3417	304783
460	486	323623	685	61642
461	2549	1866124	2867	256714
462	2371	1824302	2598	234916
463	1986	1553027	2151	194840
464	2823	2140639	3047	272838
465	481	399976	734	61572
466	3719	2875338	3835	343731
467	392	297979	545	52488
468	3786	2917638	3972	349667
469	1974	1474218	2171	192323
470	3856	2950266	4112	368662
471	1531	1148159	1749	154004
472	2322	1799485	2499	221817
473	1917	1470294	2324	207504
474	2398	1848682	2622	235752
475	3272	2496150	3509	311456
476	1320	1085520	1630	144838
477	3766	2862193	3928	351058
478	2278	1732983	2495	219752
479	1560	1162794	1722	151806
480	2378	1785603	2637	236832
481	3575	2751912	3936	351659
482	2502	1887413	2684	241946
483	4043	3145382	4371	392806
484	1140	853935	1335	118987
485	4004	3110190	4237	379657
486	3991	3048774	4271	381764
487	1734	1353080	1919	169486
488	4223	3335404	4633	414826
489	1762	1319047	1994	177124
490	4026	3153193	4314	388625
491	3888	3065632	4181	375842
492	3753	2924974	4015	356305
493	4662	3547601	4995	445733
494	3485	2699445	3859	348016
495	3404	2582409	3653	324363
496	3573	2804210	3918	349494
497	3488	2734749	3859	343103
498	3574	2800262	3934	348357
499	4121	3175072	4445	395915
500	3959	3096180	4376	387440
501	3640	2806893	3916	347776
502	3589	2768301	3895	347935
503	3484	2721128	3885	343286
504	3568	2795695	3799	344310
505	4210	3336918	4543	397376
506	3579	2697843	3889	345797
507	3566	2776418	3870	343025
508	3919	3060350	4298	384034
509	3741	2892911	4005	355113
510	3706	2772515	4032	357500
511	4217	3341623	4626	410391
512	3187	2447809	3462	306957
513	3783	2942332	4169	376136
514	4285	3360311	4607	407219
515	3354	2540603	3602	318515
516	3317	2591257	3664	327196
517	4051	3105725	4391	387804
518	3445	2629297	3777	332800
519	3447	2663920	3827	338262
520	3897	3025297	4314	384105
521	3454	2669275	3712	328919
522	3310	2531582	3608	318941
523	3947	3054883	4285	382255
524	3954	3027812	4239	375680
525	3371	2579690	3681	330241
526	3316	2520207	3607	319256
527	3811	2972784	4139	367537
528	3586	2686876	3862	342826
529	3470	2664199	3780	335233
530	3647	2788080	3957	350537
531	3482	2678083	3876	346520
532	3223	2481578	3640	327076
533	3677	2700483	4021	356051
534	3781	2929336	4193	375885
535	3595	2775300	3941	357158
536	3923	3064535	4165	364435
537	2769	2134294	3109	275975
538	4499	3498397	4783	425390
539	1789	1362757	2127	187888
540	3046	2310046	3306	295052
541	3900	2939892	4150	371168
542	3583	2756443	3913	345029
543	3625	2690467	3979	351989
544	3371	2568248	3706	333418
545	3205	2486623	3591	320673
546	3407	2624416	3649	320352
547	3668	2815637	3983	352014
548	3392	2565691	3740	332635
549	4115	3126685	4461	398515
550	3503	2722156	3883	344321
551	3570	2711349	3836	343582
552	3374	2581797	3659	324462
553	3245	2505553	3556	322182
554	4108	3128801	4391	386791
555	3514	2709420	3871	342782
556	3543	2706456	3855	346558
557	4030	3080952	4403	394955
558	4934	3885298	5224	461400
559	4123	3127760	4459	398865
560	3504	2733937	3845	341808
561	3965	3011297	4340	386461
562	4600	3576871	5019	444891
563	4272	3255581	4533	400181
564	3464	2673552	3775	334484
565	3655	2795661	3967	350340
566	3657	2751410	3990	349047
567	4212	3196460	4552	404757
568	3762	2880466	4107	368404
569	3890	2959886	4246	374825
570	3180	2344033	3557	316548
571	3652	2763885	4015	363154
572	3600	2745941	3976	352203
573	3917	3030787	4271	381786
574	4586	3560542	4936	439034
575	3953	2979883	4260	381736
576	3860	2875782	4290	381572
577	3414	2597002	3903	354895
578	3472	2650667	3832	344170
579	3860	2936762	4109	363820
580	3273	2490444	3667	329094
581	3144	2414250	3479	311111
582	3188	2413284	3540	315191
583	4274	3225073	4663	416856
584	3240	2443458	3605	325894
585	3609	2731718	3933	349091
586	3329	2503988	3544	315378
587	4166	3141581	4508	401682
588	4195	3225837	4490	396792
589	4522	3464313	4868	430079
590	4663	3608821	5098	452213
591	4686	3604564	5034	442413
592	3153	2339940	3395	295717
593	3314	2553647	3673	324001
594	3790	2839819	4029	358227
595	3920	3014694	4244	377342
596	4002	3048550	4352	384080
597	3956	3070385	4279	380224
598	3190	2442610	3590	316547
599	4197	3206263	4526	401112
600	3551	2712775	3897	344702
601	3344	2492307	3651	323923
602	3419	2669746	3795	336932
603	3676	2749674	3985	352693
604	3423	2578984	3699	322886
605	3419	2641786	3699	325868
606	4131	3114322	4488	394595
607	4354	3355646	4701	414918
608	4511	3380995	4829	427519
609	2902	2244370	3237	286798
610	2255	1767194	2538	222587
611	3790	2977547	4177	371132
612	1976	1467045	2301	206418
613	2294	1787138	2569	228125
614	3275	2458486	3623	319961
615	1983	1476253	2320	205818
616	1601	1234926	1878	166761
617	3484	2686437	3690	324929
618	4933	3832242	5378	480747
619	1594	1173205	1718	149173
620	2963	2309198	3201	283262
621	4277	3311078	4615	412676
622	2773	2102712	3009	266605
623	1729	1358289	1990	176773
624	4058	3113348	4290	377551
625	956	739629	1271	117225
626	4338	3298336	4591	403745
627	3659	2858218	3963	350962
628	3121	2403897	3323	296852
629	3202	2442594	3613	324289
630	2804	2190983	3065	272569
631	1933	1486175	2214	195665
632	3724	2903748	4117	364306
633	3315	2755928	3737	329546
634	3687	2903965	3910	347422
635	3005	2333259	3401	302542
636	1260	954988	1522	132821
637	29	6817	222	19033
638	11	2990	195	16277
639	20	4758	205	16678
640	27	5059	123	10205
641	23	10704	190	14512
